Category,Initiative Name,Initiative Description,Severity,Control ID,DevOps Control Name,Control Description,Recommendation,Code
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,Critical,DOS1075,Pipeline Settings - Disable building pull requests from forked repositories,"Limit building pull requests from forked GitHub repositories. Disable building pull requests from forked repositories. With this enabled, No pipeline will build pull requests from forked repositories. Learn more: https://learn.microsoft.com/en-us/azure/devops/pipelines/repos/github#contributions-from-forks","1. Navigate to Organization Settings.  2. Open the Settings link under Pipelines.  3. Under the 'Triggers' section, turn 'On' the setting 'Limit building pull requests from forked GitHub repositories'.  4. Turn 'On' the setting 'Disable building pull requests from forked repositories'.",ADO_ORGANIZATION_PIPELINE_SETTINGS_DISABLE_BUILDING_PULL_REQUESTS_FROM_FORKED_REPOSITORIES
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,Critical,DOS1130,Pipeline Settings - Enforce access to repositories in YAML pipelines.,"Protect access to repositories in YAML pipelines. Restricts the scope of access for all pipelines to only repositories explicitly referenced by the pipeline. Apply checks and approvals when accessing repositories from YAML pipelines. Also, generate a job access token that is scoped to repositories that are explicitly referenced in the YAML pipeline. Learn more: https://learn.microsoft.com/en-us/azure/devops/pipelines/security/secure-access-to-repos https://learn.microsoft.com/en-us/azure/devops/pipelines/process/access-tokens#protect-access-to-repositories-in-yaml-pipelines https://devblogs.microsoft.com/devops/pipeline-stealing-another-repo/",1. Go to Organization Settings.  2. Click on Pipelines -> Settings.  3. Turn 'On' the setting 'Protect access to repositories in YAML pipelines'.,ADO_ORGANIZATION_PIPELINE_SETTINGS_LIMIT_PIPELINE_SCOPE_TO_REFERENCED_REPOS
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,Critical,DOS1120,Pipeline Settings - Enforce job authorization scope to current project for non-release pipelines,"Limit job authorization scope to current project for non-release pipelines. If enabled, scope of access for all pipelines reduces to the current project. Non-Release Pipelines can run with collection scoped access tokens unless this option is enabled. With this option enabled, you can reduce the scope of access for all non-release pipelines to the current project. Learn more: https://learn.microsoft.com/en-us/azure/devops/pipelines/security/secure-access-to-repos https://learn.microsoft.com/en-us/azure/devops/pipelines/process/access-tokens#job-authorization-scope",1. Go to Organization Settings.  2. Click on Pipelines -> Settings.  3. Turn 'On' the setting 'Limit job authorization scope to current project for non-release pipelines'.,ADO_ORGANIZATION_PIPELINE_SETTINGS_LIMIT_NON_RELEASE_PIPELINE_SCOPE
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,Critical,DOS1140,Pipeline Settings - Enforce job authorization scope to current project for release pipelines,"Limit job authorization scope to current project for release pipelines. Release pipelines can run with collection scoped access tokens unless this option is enabled. With this option enabled, you can reduce the scope of access for all release pipelines to the current project. Learn more: https://learn.microsoft.com/en-us/azure/devops/pipelines/security/secure-access-to-repos https://learn.microsoft.com/en-us/azure/devops/pipelines/process/access-tokens#job-authorization-scope",1. Go to Organization Settings.  2. Click on Pipelines -> Settings.  3. Turn 'On' the setting 'Limit job authorization scope to current project for release pipelines'.,ADO_ORGANIZATION_PIPELINE_SETTINGS_LIMIT_RELEASE_PIPELINE_SCOPE
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,High,DOS1050,Disable auto-provisioning of agent pools,Do not enable auto-provisioning of the agent pool in new projects. Enabling the auto-provisioning will import automatically the agent pool for all new projects. Learn more: https://learn.microsoft.com/en-us/azure/devops/pipelines/agents/pools-queues,1. Go to Organization Settings.  2. Click on Pipelines -> Agent pools.  3. Select an agent pool.  4. Select the Settings tab.  5. Turn 'Off' the setting 'Auto-provision this agent pool in new projects'.,ADO_ORGANIZATION_PIPELINE_AGENTPOOL_DONT_ENABLE_AUTOPROVISIONING
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,High,DOS1060,Enable auto-update of agents in the agent pool,Agent update settings - Allow agents in the agent pool to automatically update. Learn more: https://learn.microsoft.com/en-us/azure/devops/pipelines/agents/pools-queues,1. Go to Organization Settings.  2. Click on Pipelines -> Agent pools.  3. Select an agent pool.  4. Select the Settings tab.  5. Turn 'On' the setting 'Allow agents in this pool to automatically update'.,ADO_ORGANIZATION_PIPELINE_AGENTPOOL_ENABLE_AUTO_UPDATE
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,High,DOS1115,Pipeline Settings - Enable shell tasks arguments validation,"Enable shell tasks args sanitizing. When this is enabled, argument parameters for built-in shell tasks are validated to prevent additional shell commands from being executed. Learn more: https://learn.microsoft.com/en-us/azure/devops/pipelines/security/inputs#shellTasksValidation",1. Navigate to Organization Settings.  2. Open the Settings link under Pipelines.  3. Turn 'On' the setting 'Enable shell tasks arguments validation'.,ADO_ORGANIZATION_PIPELINE_SETTINGS_ENABLE_SHELL_TASKS_ARGUMENTS_VALIDATION
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,High,DOS1150,Pipeline Settings - Limit variables that can be set at queue time,"Enforce settable variables. If enabled, only those variables that are explicitly marked as 'Settable at queue time' can be set at queue time. You can set any variables at queue time unless this option is enabled. With this option enabled, only those variables that are explicitly marked as 'Settable at queue time' can be set. Learn more: https://learn.microsoft.com/en-us/azure/devops/pipelines/security/inputs https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices",1. Go to Organization Settings.  2. Click on Pipelines -> Settings.  3. Turn 'On' the setting 'Limit variables that can be set at queue time'.,ADO_ORGANIZATION_PIPELINE_SETTINGS_LIMIT_SETTABLE_VARIABLES_AT_QUEUE_TIME
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,Medium,DOS1080,Pipeline Settings - Disable creation of classic build pipelines,"Enable the setting 'Disable creation of classic build pipelines'. When this is enabled, no classic build pipelines can be created / imported. Existing ones will continue to work. Learn more: https://devblogs.microsoft.com/devops/disable-creation-of-classic-pipelines ",1. Go to Organization Settings.  2. Click on Pipelines -> Settings.  3. Turn 'On' the setting 'Disable creation of classic build pipelines'.,ADO_ORGANIZATION_PIPELINE_SETTINGS_DISABLE_CREATION_OF_CLASSIC_BUILD_PIPELINES
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,Medium,DOS1090,Pipeline Settings - Disable creation of classic release pipelines,"Enable the setting 'Disable creation of classic release pipelines'. When this is enabled, no classic release pipelines, task groups, and deployment groups can be created / imported. Existing ones will continue to work. Learn more: https://devblogs.microsoft.com/devops/disable-creation-of-classic-pipelines ",1. Go to Organization Settings.  2. Click on Pipelines -> Settings.  3. Turn 'On' the setting 'Disable creation of classic release pipelines'.,ADO_ORGANIZATION_PIPELINE_SETTINGS_DISABLE_CREATION_OF_CLASSIC_RELEASE_PIPELINES
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,Low,DOS1070,Pipeline Settings - Disable anonymous access to badges,Status badges are private. Anonymous users can access the status badge API for all pipelines unless this option is enabled. Learn more: https://learn.microsoft.com/en-us/azure/devops/pipelines/create-first-pipeline?#add-a-status-badge-to-your-repository,1. Go to Organization Settings.  2. Click on Pipelines -> Settings.  3. Turn 'On' the setting 'Disable anonymous access to badges'.,ADO_ORGANIZATION_PIPELINE_SETTINGS_DISABLE_ANONYMOUS_ACCESS_TO_BADGES
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,Low,DOS1100,Pipeline Settings - Disable implied YAML CI trigger to prevent unintended pipeline runs,Prevent unintended pipeline runs. Enable the setting 'Disable implied YAML CI trigger'. Trigger a pipeline only for code changes that match its trigger section. Do not trigger the pipeline if the trigger section is missing. Learn more: https://learn.microsoft.com/en-us/azure/devops/release-notes/2023/sprint-227-update#prevent-unintended-pipeline-runs https://learn.microsoft.com/en-us/azure/devops/pipelines/yaml-schema/trigger,1. Go to Organization Settings.  2. Click on Pipelines -> Settings.  3. Turn 'On' the setting 'Disable implied YAML CI trigger'.,ADO_ORGANIZATION_PIPELINE_SETTINGS_DISABLE_IMPLIED_YAML_CI_TRIGGER
Organization,ADO Secure Organization Pipelines,Secure organization pipelines by managing the general pipeline settings and agent pools.,Low,DOS1110,Pipeline Settings - Disable stage chooser,"Enable the setting 'Disable stage chooser'. With this enabled, users will not be able to select stages to skip from the Queue Pipeline panel. Learn more: https://learn.microsoft.com/en-us/azure/devops/pipelines/process/stages",1. Go to Organization Settings.  2. Click on Pipelines -> Settings.  3. Turn 'On' the setting 'Disable stage chooser'.,ADO_ORGANIZATION_PIPELINE_SETTINGS_DISABLE_STAGE_CHOOSER
Organization,ADO Secure Organizations - General,Secure your organization by applying standards and best practices.,High,DOS1010,Artifacts - Restrict feeds creation to only administrators,Allow only administrators to create feeds in your organization. Learn more: https://learn.microsoft.com/en-us/azure/devops/artifacts/feeds/feed-permissions,1. Go to Artifacts.  2. Click on Azure Artifacts Settings button.  3. Review 'Who can create feeds' and select 'Only administrators and these users can create feeds'. Grant this permission to a limited set of users/groups.,ADO_ORGANIZATION_ARTIFACTS_SETTINGS_RESTRICT_WHO_CAN_CREATE_FEEDS
Organization,ADO Secure Organizations - General,Secure your organization by applying standards and best practices.,High,DOS1300,Enable Advanced Security for new Projects,Automatically enable Advanced Security for new projects. New projects in this organization will be set to automatically enable Advanced Security on new Git repositories by default. Settings can be changed on individual projects and repositories at any time. Advanced Security is billed based on the number of unique active committers across all enabled repositories in your subscription. Learn more: https://learn.microsoft.com/en-us/azure/devops/repos/security/configure-github-advanced-security-features,1. Go to Organization Settings.  2. Select Repos -> Repositories.  3. Turn 'On' the setting 'Automatically enable Advanced Security for new projects'.,ADO_ORGANIZATION_ADVANCEDSECURITY_ENABLE_FOR_NEW_PROJECTS
Organization,ADO Secure Organizations - General,Secure your organization by applying standards and best practices.,High,DOS1020,Extensions - Restrict extensions to only trusted publishers,Allow extensions only from trusted publishers to be installed in your organization. Running extensions from untrusted source can lead to all type of attacks and data loss. Learn more: https://learn.microsoft.com/en-us/azure/devops/extend/overview,1. Go to Organization Settings.  2. Select Extensions.  3. Review all installed extensions in the organization.,ADO_ORGANIZATION_EXTENSIONS_RESTRICT_TO_TRUSTED_PUBLISHERS
Organization,ADO Secure Organizations - General,Secure your organization by applying standards and best practices.,High,DOS1030,Extensions - Security Roles - Restrict extension manager role to only administrators,Allow only administrators to manage extensions in your organization. Review the users who have permission to manage extensions. Users with extension manager role can install/uninstall extensions and approve/decline extension requests. Learn more: https://learn.microsoft.com/en-us/azure/devops/marketplace/grant-permissions,1. Go to Organization Settings.  2. Select Extensions.  3. Click on the Security button.  4. Review all 'Manager' role assignments.,ADO_ORGANIZATION_EXTENSIONS_SECURITYROLES_RESTRICT_EXTENSION_MANAGER_ROLE_TO_ADMINS
Organization,ADO Secure Organizations - General,Secure your organization by applying standards and best practices.,High,DOS1250,Users - Remove access for inactive guest users,Review inactive guest users and revoke their access. Inactive guest users must be removed to reduce the attack surface. Ensure only legitimate users have access to your organization resources. Go to Organization Settings -> Users. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices?view=azure-devops#removing-users,"1. Go to Organization Settings.  2. Select Users.  3. Under 'All users' tab, filter by 'AAD User Type' as 'Guest User'.  4. Review the 'Last Accessed' column, then revoke access for inactive users.",ADO_ORGANIZATION_USERS_REMOVE_INACTIVE_GUEST_USERS
Organization,ADO Secure Organizations - General,Secure your organization by applying standards and best practices.,Medium,DOS1040,An organization must have at least 2 and no more than 5 administrators,"Your organization should have at least 2 and at most 5 Project Collection Administrators. To reduce the risk of losing admin access, you may want to ensure at least 2 users are part of the Project Collection Administrators group. Limit the number of administrators to no more than 5 for your organization. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/security/look-up-project-collection-administrators",1. Go to Organization Settings.  2. Click on Security -> Permissions.  3. Groups - Select ' Project Collection Administrators'.  4. Review all members of this group.,ADO_ORGANIZATION_LIMIT_MIN_MAX_ADMINS
Organization,ADO Secure Organizations - General,Secure your organization by applying standards and best practices.,Medium,DOS1260,Users - Revoke access for inactive users,Review inactive users and revoke their access. Inactive users must be removed to reduce the attack surface. Ensure only legitimate users have access to your organization resources. Go to Organization Settings -> Users. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices?view=azure-devops#removing-users,"1. Go to Organization Settings.  2. Select Users.  3. Under 'All users' tab, review and filter the 'Last Accessed' column, then revoke access for inactive users.",ADO_ORGANIZATION_USERS_REVIEW_AND_REVOKE_ACCESS_FOR_INACTIVE_USERS
Organization,ADO Secure Organizations Security Policies,Secure organizations by managing the security policies.,Critical,DOS1180,Disallow Anonymous Access,Allow public projects should be disabled. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/projects/create-project https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices?view=azure-devops#project-level-permissions,1. Go to Organization Settings.  2. Click on Security -> Policies.  3. Security policies.  4. Turn 'Off' the setting 'Allow public projects'.,ADO_ORGANIZATION_POLICIES_SECURITY_DONT_ALLOW_PUBLIC_PROJECTS
Organization,ADO Secure Organizations Security Policies,Secure organizations by managing the security policies.,Critical,DOS1220,Disallow Guest Users,External guest access should be disabled. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/security/security-best-practices?view=azure-devops#external-guest-access https://learn.microsoft.com/en-us/azure/devops/organizations/accounts/add-external-user,1. Go to Organization Settings.  2. Click on Security -> Policies.  3. User policies.  4. Turn 'Off' the setting 'External guest access'.,ADO_ORGANIZATION_POLICIES_USER_DISABLE_GUEST_USERS
Organization,ADO Secure Organizations Security Policies,Secure organizations by managing the security policies.,Critical,DOS1210,Enable Additional protections when using public package registries,Additional protections when using public package registries. Learn more: https://devblogs.microsoft.com/devops/changes-to-azure-artifact-upstream-behavior https://learn.microsoft.com/en-us/azure/devops/artifacts/concepts/upstream-sources,1. Go to Organization Settings.  2. Click on Security -> Policies.  3. Security policies.  4. Turn 'On' the setting 'Additional protections when using public package registries'.,ADO_ORGANIZATION_POLICIES_SECURITY_ENABLE_PROTECTIONS_WHEN_USING_PUBLIC_PACKAGES
Organization,ADO Secure Organizations Security Policies,Secure organizations by managing the security policies.,High,DOS1160,Disallow OAuth Authentication,Third-party application access via OAuth should be disabled. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/accounts/change-application-access-policies,1. Go to Organization Settings.  2. Click on Security -> Policies.  3. Application connection policies.  4. Turn 'Off' the setting 'Third-party application access via OAuth'.,ADO_ORGANIZATION_POLICIES_APPCONNECTION_DISABLE_OAUTH_APP_ACCESS
Organization,ADO Secure Organizations Security Policies,Secure organizations by managing the security policies.,High,DOS1230,Disallow Request Access Token,Request access should be disabled. Learn more: https://learn.microsoft.com/en-us/azure/devops/organizations/accounts/disable-request-access-policy,1. Go to Organization Settings.  2. Click on Security -> Policies.  3. User policies.  4. Turn 'Off' the setting 'Request access'.,ADO_ORGANIZATION_POLICIES_USER_DISABLE_REQUEST_ACCESSTOKEN
